FID,Name,FolderPath,SymbolID,AltMode,Base,Snippet,PopupInfo,HasLabel,LabelID,Type_,Juris,Latitude,Longitude
43,Butler Plaza Transfer Station_1,Micromobility.kmz/Micromobility/Primary,0,-1,0, ,"- Adjacent to landscaped median, to not impede walkway acess
- See aerial markup",-1,0,City Staging/Parking Area,City of Gainesville,29.62559231,-82.38761085
44,Bo Didley Plaza_2,Micromobility.kmz/Micromobility/Primary,0,-1,0, , ,-1,0,City Staging/Parking Area,City of Gainesville,29.6527059,-82.32340507
45,Hippodrome,Micromobility.kmz/Micromobility/Primary,0,-1,0, ,Micromobility parking should be where northernmost parking currently is,-1,0,City Staging/Parking Area,City of Gainesville,29.64977325,-82.32403973
46,Depot Park_Pop-a-Top and Beer Garden,Micromobility.kmz/Micromobility/Primary,0,-1,0, , ,-1,0,City Staging/Parking Area,City of Gainesville,29.64515801,-82.3223839
47,Depot Park_Cade Museum,Micromobility.kmz/Micromobility/Primary,0,-1,0, , ,-1,0,City Staging/Parking Area,City of Gainesville,29.64262092,-82.32568839
48,Depot Park_Bike Racks b/t Ponds,Micromobility.kmz/Micromobility/Primary/Depot Park_Bike Racks b,0,-1,0, , ,-1,0,City Staging/Parking Area,City of Gainesville,29.64230726,-82.32189234
49,14th St,Micromobility.kmz/Micromobility/Primary,0,-1,0, , ,-1,0,City Staging/Parking Area,City of Gainesville,29.65300191,-82.34306645
50,City Hall,Micromobility.kmz/Micromobility/Primary,0,-1,0, , ,-1,0,City Staging/Parking Area,City of Gainesville,29.65322973,-82.3234817
51,Southwest parking garage,Micromobility.kmz/Micromobility/Primary,0,-1,0, ,"Same place as previous docked bikeshare, unless there were issues",-1,0,City Staging/Parking Area,City of Gainesville,29.65130816,-82.32726416
52,6th St Path,Micromobility.kmz/Micromobility/Primary,0,-1,0, , ,-1,0,City Staging/Parking Area,City of Gainesville,29.6508294,-82.33081302
53,S 6th_rev angle parking,Micromobility.kmz/Micromobility/Primary,0,-1,0, ,#NAME?,-1,0,City Staging/Parking Area,City of Gainesville,29.65279109,-82.33131591
54,Innovation Square_EB,Micromobility.kmz/Micromobility/Primary,0,-1,0, , ,-1,0,City Staging/Parking Area,City of Gainesville,29.65019118,-82.33272655
55,Innovation Square_WB,Micromobility.kmz/Micromobility/Primary,0,-1,0, , ,-1,0,City Staging/Parking Area,City of Gainesville,29.65058964,-82.33369456
56,Depot Park_Eastern Overlook,Micromobility.kmz/Micromobility/Primary,0,-1,0, , ,-1,0,City Staging/Parking Area,City of Gainesville,29.64321432,-82.32087982
57,Depot Park_Restrooms,Micromobility.kmz/Micromobility/Primary,0,-1,0, ,THIS ONE IS TENTATIVE,-1,0,City Staging/Parking Area,City of Gainesville,29.64427733,-82.32168448
58,Bo Diddley Plaza_1,Micromobility.kmz/Micromobility/Primary,0,-1,0, , ,-1,0,City Staging/Parking Area,City of Gainesville,29.65170419,-82.32275788
59,Rosa Parks Transfer Station_1,Micromobility.kmz/Micromobility/Zone A,2,-1,0, ,Next to existing bike racks,-1,0,Staging/Parking Zone A,City of Gainesville,29.64622566,-82.32268795
60,Citizen's Field,Micromobility.kmz/Micromobility/Zone A,2,-1,0, ,#NAME?,-1,0,Staging/Parking Zone A,City of Gainesville,29.66217827,-82.3062866
61,Fearnside,Micromobility.kmz/Micromobility/Zone A,2,-1,0, ,"- N end of existing bus pad
- Coordinate w Francis (RTS)",-1,0,Staging/Parking Zone A,City of Gainesville,29.68612941,-82.30703067
62,Eastside Walmart,Micromobility.kmz/Micromobility/Zone A,2,-1,0, ,#NAME?,-1,0,Staging/Parking Zone A,City of Gainesville,29.66413606,-82.30084708
63,Lincoln Joint Use Park,Micromobility.kmz/Micromobility/Zone A,2,-1,0, , ,-1,0,Staging/Parking Zone A,City of Gainesville,29.64360272,-82.30778923
64,Fred Cone Park,Micromobility.kmz/Micromobility/Zone A,2,-1,0, ,"- NW-most parking spot; use flexpost or two to delineate the spot
- SW and AM to coordinate w Betsy",-1,0,Staging/Parking Zone A,City of Gainesville,29.65066877,-82.2887983
